antecedent,consequent,support,confidence,lift
['tropical_fruit'],['sugar'],0.0010024727661565194,0.014792899408284023,0.8352685050798258
['butter'],['fruit/vegetable_juice'],0.001403461872619127,0.03984819734345351,1.171411742338104
['fruit/vegetable_juice'],['butter'],0.001403461872619127,0.0412573673870334,1.1714117423381039
['domestic_eggs'],['fruit/vegetable_juice'],0.0010693042839002875,0.02882882882882883,0.8474769464946283
['fruit/vegetable_juice'],['domestic_eggs'],0.0010693042839002875,0.03143418467583497,0.8474769464946282
['newspapers'],['citrus_fruit'],0.0012029673193878234,0.030927835051546393,0.582104648900992
['citrus_fruit'],['newspapers'],0.0012029673193878234,0.022641509433962263,0.582104648900992
['frankfurter'],['tropical_fruit'],0.0013366303548753592,0.035398230088495575,0.5223508055366463
['tropical_fruit'],['frankfurter'],0.0013366303548753592,0.01972386587771203,0.5223508055366463
['pastry'],['bottled_beer'],0.0020717770500568067,0.040051679586563305,0.8839133947695379
['bottled_beer'],['pastry'],0.0020717770500568067,0.045722713864306784,0.883913394769538
['newspapers'],['shopping_bags'],0.001804450979081735,0.04639175257731959,0.9749435306382487
['shopping_bags'],['newspapers'],0.001804450979081735,0.037921348314606744,0.9749435306382486
['coffee'],['shopping_bags'],0.001403461872619127,0.04439746300211417,0.9330326389053852
['shopping_bags'],['coffee'],0.001403461872619127,0.02949438202247191,0.9330326389053851
['soda'],['salty_snack'],0.001403461872619127,0.014452856159669649,0.7696017320894555
['salty_snack'],['soda'],0.001403461872619127,0.07473309608540925,0.7696017320894554
['other_vegetables'],['citrus_fruit'],0.0048118692775512934,0.03940886699507389,0.7417294048393592
['citrus_fruit'],['other_vegetables'],0.0048118692775512934,0.09056603773584905,0.7417294048393592
['rolls/buns'],['fruit/vegetable_juice'],0.003742564993651006,0.03402187120291616,1.0001360683874942
['fruit/vegetable_juice'],['rolls/buns'],0.003742564993651006,0.1100196463654224,1.0001360683874942
['yogurt'],['canned_beer'],0.0038762280291385416,0.045136186770428015,0.9620694624585675
['canned_beer'],['yogurt'],0.0038762280291385416,0.08262108262108261,0.9620694624585674
['sausage'],['citrus_fruit'],0.0012029673193878234,0.019933554817275746,0.3751770826803736
['citrus_fruit'],['sausage'],0.0012029673193878234,0.022641509433962263,0.3751770826803736
['frankfurter'],['curd'],0.0013366303548753592,0.035398230088495575,1.050920073043967
['curd'],['frankfurter'],0.0013366303548753592,0.03968253968253968,1.050920073043967
['coffee'],['citrus_fruit'],0.0013366303548753592,0.042283298097251586,0.7958301753826106
['citrus_fruit'],['coffee'],0.0013366303548753592,0.025157232704402517,0.7958301753826107
['frankfurter'],['yogurt'],0.0025395976742631824,0.06725663716814159,0.783160359491753
['yogurt'],['frankfurter'],0.0025395976742631824,0.029571984435797664,0.7831603594917531
